EmployeeID,Name,Department,Salary,Performance,YearsOfExperience,SkillLevel
60,Employee60,Engineering,125766,3.116848299685229,14,7.0
61,Employee61,Engineering,65707,4.820400327373335,2,8.0
62,Employee62,HR,71976,4.920991510265952,7,7.0
63,Employee63,Finance,94262,2.851762924212397,19,5.0
64,Employee64,Engineering,73776,2.9160915810331804,15,1.0
65,Employee65,Engineering,80080,3.45684126075868,12,7.0
66,Employee66,HR,116842,3.345272428958742,17,7.0
67,Employee67,Engineering,111373,4.983372387832462,9,9.0
68,Employee68,Engineering,56776,2.5277757580320364,18,3.0
69,Employee69,HR,142787,2.0542260908465626,16,9.0
70,Employee70,HR,105016,3.481681145550304,18,1.0
71,Employee71,R&D,59474,2.536468127663986,4,1.0
72,Employee72,Finance,108053,3.09940635374858,8,4.0
73,Employee73,Finance,71959,4.232511569169687,11,9.0
74,Employee74,Engineering,55530,4.162819772756388,0,6.0
75,Employee75,Finance,144856,2.9241823755571676,0,3.0
76,Employee76,Engineering,53748,3.627620691664698,14,1.0
77,Employee77,R&D,147504,3.52644223051628,1,4.0
78,Employee78,HR,148098,3.9089978545576862,15,9.0
79,Employee79,HR,63545,2.7513854558167523,7,3.0
80,Employee80,HR,116199,3.7696125426816316,12,9.0
81,Employee81,Finance,84766,4.936678574825027,0,7.0
82,Employee82,R&D,123530,3.460226458878365,15,4.0
83,Employee83,Finance,143557,4.7182963631556625,6,3.0
84,Employee84,Finance,111087,3.303183096531286,4,5.0
85,Employee85,R&D,145839,3.050235223084027,2,5.0
86,Employee86,R&D,118840,3.9353100860916945,11,3.0
87,Employee87,R&D,104384,4.006772178989299,15,9.0
88,Employee88,R&D,101005,4.592502695215709,18,4.0
89,Employee89,HR,96576,2.690555804724666,4,5.0
90,Employee90,Sales,89353,3.497580139654257,13,4.0
91,Employee91,Sales,112003,3.7160125976275493,4,5.0
92,Employee92,R&D,133211,4.305662042918927,14,7.0
93,Employee93,Sales,102733,2.1308113152633013,16,9.0
94,Employee94,Sales,115318,4.983651532392023,13,7.0
95,Employee95,R&D,139474,3.4098335419728287,19,5.0
96,Employee96,Sales,73664,2.838681025390276,4,7.0
97,Employee97,Finance,117172,4.6504820667987765,11,5.0
98,Employee98,Engineering,135616,4.243156321692242,15,3.0
99,Employee99,Engineering,143264,4.85921554107186,15,7.0
100,Employee100,R&D,76736,2.992250914011541,6,2.0
3,Employee3,Sales,58392,2.099152198701645,0,5.0
4,Employee4,Finance,80535,3.035213744080049,19,7.0
